item_id,name,price,Category,Meal_Type,calories_kcal,protein_g,fat_g,carbohydrates_g,salt_equivalent_g,saturated_fat_g,sugar_g,dietary_fiber_g,cholesterol_mg,sodium_mg,vitamin_c_mg,calcium_mg,iron_mg
1,salmon onigiri,150,Protein,Dinner,152,1.2,15.5,40.7,1.0,4.2,8.6,2.7,10,849.0,17.8,12.6,0.5
2,tuna mayo onigiri,140,Protein,Lunch,485,28.7,37.5,13.9,3.8,2.8,9.6,1.1,150,827.0,34.0,5.4,3.8
3,pickled plum onigiri,130,Meal,Lunch,320,25.0,5.6,59.9,4.1,7.0,2.0,0.5,0,1531.0,28.6,296.3,2.7
4,kelp onigiri,120,Meal,Lunch,156,25.8,13.7,8.4,5.0,5.3,8.4,7.9,45,1951.0,39.8,128.3,4.8
5,spicy cod roe onigiri,160,Meal,Lunch,121,27.2,4.6,49.2,2.1,8.8,13.9,2.6,100,2259.0,56.2,115.3,1.7
6,grilled salmon onigiri,170,Protein,Dinner,750,3.5,37.0,56.6,1.9,1.2,8.9,6.5,148,2184.0,44.0,203.9,3.2
7,chicken rice onigiri,145,Grain,Lunch,70,13.2,35.1,32.2,3.9,14.6,4.4,2.0,89,104.0,12.9,65.5,4.7
8,beef rice onigiri,155,Grain,Dinner,664,4.9,10.4,61.1,1.8,14.8,6.0,5.5,109,1873.0,1.9,285.0,0.5
9,teriyaki chicken bento,520,Protein,Lunch,171,30.3,26.4,7.9,4.7,10.5,23.0,6.1,163,1251.0,15.7,235.9,4.7
10,karaage bento,500,Protein,Lunch,516,22.2,32.7,8.5,4.3,8.0,10.3,4.8,181,882.0,35.7,26.8,3.4
11,pork cutlet bento,550,Protein,Lunch,264,12.3,22.3,83.1,2.2,4.6,18.2,3.8,56,362.0,3.1,125.3,0.3
12,grilled fish bento,530,Protein,Lunch,380,3.2,21.2,39.2,3.8,12.2,25.2,3.3,0,1908.0,29.8,263.7,1.5
13,vegetable stir fry bento,480,Meal,Lunch,508,11.6,9.7,17.1,3.8,10.3,34.5,2.8,62,2057.0,35.8,283.4,3.5
14,mapo tofu bowl,450,Legume,Lunch,137,12.1,3.8,54.6,0.6,2.4,2.0,7.4,181,2056.0,20.1,140.2,0.3
15,beef bowl,580,Protein,Lunch,422,25.8,35.9,78.1,4.5,13.7,40.0,6.6,54,1840.0,46.3,184.0,2.9
16,tempura bowl,490,Meal,Lunch,149,22.7,36.0,25.5,2.6,12.3,31.4,7.7,114,377.0,6.4,50.1,1.7
17,oyakodon,500,Meal,Lunch,713,31.2,25.4,64.2,4.1,14.2,4.1,1.0,167,1337.0,4.5,297.4,3.1
18,curry rice bento,460,Grain,Lunch,180,17.1,13.6,13.1,1.7,10.9,43.7,5.8,142,2193.0,43.7,69.5,0.2
19,matcha latte,130,Beverage,Breakfast,711,5.1,14.0,9.9,4.5,9.2,46.0,7.5,148,1161.0,29.7,282.8,4.4
20,boss coffee black,120,Beverage,Breakfast,358,25.3,29.1,55.5,2.0,6.3,3.1,1.4,174,1361.0,41.3,194.9,4.9
21,pocari sweat,150,Beverage,Snack,393,26.9,35.9,56.4,0.2,14.0,13.8,0.5,52,501.0,26.1,182.3,4.8
22,calpis water,140,Beverage,Snack,541,20.1,35.5,65.6,4.5,13.0,40.3,5.9,136,1573.0,14.8,153.8,3.7
23,iyemon green tea,130,Beverage,Breakfast,463,27.2,31.2,74.0,0.5,0.7,37.4,4.6,179,214.0,49.1,69.2,0.7
24,suntory black oolong tea,120,Beverage,Breakfast,435,17.8,25.7,97.7,1.7,0.4,9.2,6.7,56,231.0,48.0,53.0,3.8
25,cc lemon,110,Meal,Snack,241,18.8,3.5,54.0,4.8,5.6,10.5,1.1,116,959.0,41.7,66.1,0.1
26,fanta grape,110,Beverage,Snack,326,15.5,6.5,35.7,4.8,12.2,18.5,6.4,153,872.0,16.3,55.9,0.1
27,coca cola,120,Beverage,Snack,210,1.9,36.0,80.5,2.9,14.8,24.2,1.6,168,993.0,35.4,233.9,1.6
28,strong zero double lemon,200,Meal,Dinner,509,4.7,24.3,30.7,3.2,2.3,30.9,1.3,34,2051.0,21.7,105.0,2.4
29,asahi super dry,250,Meal,Dinner,363,2.1,0.5,46.7,2.3,8.9,18.4,1.3,62,2104.0,5.5,17.4,3.9
30,kirin ichiban shibori,260,Meal,Dinner,71,22.6,4.1,12.5,1.5,5.7,23.1,6.5,24,379.0,55.0,290.7,3.4
31,salty lychee,180,Beverage,Snack,302,11.7,26.6,7.4,1.7,14.5,37.4,5.3,89,824.0,8.2,265.1,2.2
32,horoyoi grape,190,Meal,Dinner,797,18.3,0.3,96.5,3.4,12.6,1.8,4.2,74,2248.0,57.0,278.3,1.4
33,kaki no tane,110,Meal,Snack,610,31.9,6.5,84.4,3.8,12.6,12.6,2.9,37,196.0,26.8,298.5,5.0
34,pocky chocolate,140,Beverage,Snack,524,9.5,22.0,71.1,4.0,7.0,35.7,7.0,129,964.0,11.1,52.2,2.1
35,pocky strawberry,140,Snack,Snack,108,15.0,27.7,43.9,4.0,6.2,44.8,3.1,134,1621.0,32.5,118.9,2.3
36,melonpan,160,Meal,Breakfast,560,26.7,26.1,21.5,0.5,4.1,25.6,6.5,161,1358.0,52.4,227.5,0.8
37,anpan,130,Meal,Breakfast,731,8.8,9.0,19.9,2.5,0.8,26.6,3.5,90,131.0,43.9,208.8,4.0
38,curry pan,150,Meal,Lunch,525,3.6,28.5,28.8,0.4,13.0,5.4,3.0,16,563.0,48.4,46.2,3.5
39,mitarashi dango,120,Dessert,Snack,749,10.9,9.6,57.2,2.8,12.2,22.4,3.7,127,1970.0,39.5,244.7,1.1
40,red bean mochi,110,Dessert,Snack,239,6.5,13.1,72.9,2.3,15.0,26.6,2.4,170,1989.0,41.5,67.3,0.4
41,matcha warabi mochi,130,Dessert,Snack,736,32.6,29.9,67.7,4.4,14.9,12.1,6.0,186,795.0,51.0,67.1,3.4
42,umaibo  ,50,Snack,Snack,612,28.5,26.0,31.6,1.8,8.3,13.5,4.0,107,1459.0,15.0,161.1,3.3
43,umaibo ,50,Snack,Snack,616,22.5,34.0,95.7,0.7,11.5,18.9,1.9,178,756.0,29.4,177.9,1.4
44,takenoko no sato,120,Snack,Snack,293,30.6,26.3,75.1,0.8,14.2,1.0,7.2,181,520.0,13.3,174.0,4.8
