disease,high,low
(vertigo) Paroymsal Positional Vertigo,"vitamin_c_mg, dietary_fiber_g","salt_equivalent_g, sodium_mg"
AIDS,"protein_g, calories_kcal, iron_mg","saturated_fat_g, sugar_g"
Acne,"vitamin_c_mg, dietary_fiber_g","fat_g, saturated_fat_g, sugar_g"
Alcoholic hepatitis,"protein_g, vitamin_c_mg, carbohydrates_g","fat_g, cholesterol_mg"
Allergy,"vitamin_c_mg, dietary_fiber_g","sugar_g, saturated_fat_g"
Arthritis,"calcium_mg, vitamin_c_mg, dietary_fiber_g","saturated_fat_g, sodium_mg"
Bronchial Asthma,"vitamin_c_mg, dietary_fiber_g","sodium_mg, saturated_fat_g"
Cervical spondylosis,"calcium_mg, protein_g","saturated_fat_g, sodium_mg"
Chicken pox,"protein_g, vitamin_c_mg, calories_kcal","saturated_fat_g, salt_equivalent_g"
Chronic cholestasis,"carbohydrates_g, vitamin_c_mg","fat_g, cholesterol_mg"
Common Cold,"vitamin_c_mg, protein_g","sugar_g, saturated_fat_g"
Dengue,"protein_g, iron_mg, vitamin_c_mg","fat_g, saturated_fat_g"
Diabetes,"dietary_fiber_g, protein_g","sugar_g, carbohydrates_g"
Dimorphic hemmorhoids(piles),dietary_fiber_g,"salt_equivalent_g, fat_g"
Drug Reaction,"vitamin_c_mg, dietary_fiber_g","saturated_fat_g, sodium_mg"
Fungal infection,"protein_g, vitamin_c_mg","sugar_g, carbohydrates_g"
GERD,"dietary_fiber_g, protein_g","fat_g, saturated_fat_g"
Gastroenteritis,"carbohydrates_g, sodium_mg","fat_g, dietary_fiber_g"
Heart attack,"dietary_fiber_g, vitamin_c_mg","cholesterol_mg, saturated_fat_g"
Hepatitis B,"carbohydrates_g, vitamin_c_mg","fat_g, cholesterol_mg"
Hepatitis C,"protein_g, vitamin_c_mg","saturated_fat_g, cholesterol_mg"
Hepatitis D,"carbohydrates_g, protein_g","fat_g, sodium_mg"
Hepatitis E,"calories_kcal, carbohydrates_g","saturated_fat_g, cholesterol_mg"
Hypertension,"calcium_mg, dietary_fiber_g","sodium_mg, salt_equivalent_g"
Hyperthyroidism,"calories_kcal, protein_g, calcium_mg","sugar_g, saturated_fat_g"
Hypoglycemia,carbohydrates_g,saturated_fat_g
Hypothyroidism,"protein_g, dietary_fiber_g","fat_g, sugar_g"
Impetigo,"protein_g, vitamin_c_mg","sugar_g, saturated_fat_g"
Jaundice,"carbohydrates_g, vitamin_c_mg","fat_g, cholesterol_mg"
Malaria,"protein_g, iron_mg, calories_kcal","fat_g, saturated_fat_g"
Migraine,"calcium_mg, dietary_fiber_g","sodium_mg, sugar_g"
Osteoarthristis,"calcium_mg, vitamin_c_mg","saturated_fat_g, sugar_g"
Paralysis (brain hemorrhage),"protein_g, dietary_fiber_g","sodium_mg, cholesterol_mg"
Peptic ulcer diseae,"carbohydrates_g, protein_g","fat_g, sodium_mg"
Pneumonia,"protein_g, vitamin_c_mg, calories_kcal",saturated_fat_g
Psoriasis,"vitamin_c_mg, dietary_fiber_g","saturated_fat_g, sugar_g"
Tuberculosis,"protein_g, calories_kcal, iron_mg",saturated_fat_g
Typhoid,"protein_g, calories_kcal, carbohydrates_g","dietary_fiber_g, fat_g"
Urinary tract infection,vitamin_c_mg,"sodium_mg, sugar_g"
Varicose veins,"dietary_fiber_g, vitamin_c_mg","sodium_mg, saturated_fat_g"
hepatitis A,"carbohydrates_g, vitamin_c_mg","fat_g, cholesterol_mg"
